model,seed,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score
TFN,44,vision_r0.3_middle,vision,0.3,middle,728,0.614010989011,0.582638895195,0.634686794695,0.614559404543,0.724537113507
TFN,44,vision_r0.3_late,vision,0.3,late,728,0.614010989011,0.58378195114,0.633110436002,0.616145147374,0.725086776959
TFN,44,vision_r0.4_early,vision,0.4,early,728,0.611263736264,0.579022906972,0.63412779192,0.615350532778,0.723068486076
TFN,44,vision_r0.4_middle,vision,0.4,middle,728,0.614010989011,0.583922386457,0.63493856975,0.614038619835,0.724782397607
TFN,44,vision_r0.4_late,vision,0.4,late,728,0.60989010989,0.579360131648,0.633388703715,0.615465920457,0.722854604454
TFN,44,vision_r0.5_early,vision,0.5,early,728,0.614010989011,0.582203223739,0.634799080532,0.613939543938,0.724346034491
TFN,44,vision_r0.5_middle,vision,0.5,middle,728,0.612637362637,0.581819091322,0.635473561683,0.612744616149,0.723729125438
TFN,44,vision_r0.5_late,vision,0.5,late,728,0.611263736264,0.580254747973,0.634429778198,0.614058122494,0.723202312279
TFN,44,text+audio_r0.3_early,text+audio,0.3,early,728,0.582417582418,0.577022350749,0.625281528519,0.612130138389,0.715322853569
TFN,44,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.568681318681,0.566775406469,0.62135332657,0.583536678433,0.705916544151
TFN,44,text+audio_r0.3_late,text+audio,0.3,late,728,0.347527472527,0.292803662484,0.732569309704,0.402345287752,0.554852223484
TFN,44,text+vision_r0.3_early,text+vision,0.3,early,728,0.600274725275,0.57327809355,0.637084197161,0.607468434476,0.717776584134
TFN,44,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.592032967033,0.571598044166,0.635892055381,0.576626888478,0.711490611552
TFN,44,text+vision_r0.3_late,text+vision,0.3,late,728,0.429945054945,0.388642929449,0.731861300091,0.392906738642,0.598266117592
TFN,44,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.593406593407,0.586492074214,0.62008879497,0.619320150487,0.721552652592
TFN,44,audio+vision_r0.3_middle,audio+vision,0.3,middle,728,0.578296703297,0.573931049449,0.619724229756,0.61964907064,0.71469122911
TFN,44,audio+vision_r0.3_late,audio+vision,0.3,late,728,0.589285714286,0.580892010074,0.616862465448,0.619505203838,0.719279978843
MulT,42,text_r0.1_early,text,0.1,early,728,0.622252747253,0.564003219127,0.632917500352,0.638575606014,0.725014379832
MulT,42,text_r0.1_middle,text,0.1,middle,728,0.625,0.564835164835,0.645857758533,0.628542146962,0.72411581964
MulT,42,text_r0.1_late,text,0.1,late,728,0.619505494505,0.545890141137,0.634465097762,0.622843351014,0.717768282047
MulT,42,text_r0.2_early,text,0.2,early,728,0.608516483516,0.557165720753,0.630377746295,0.623403848829,0.718080292742
MulT,42,text_r0.2_middle,text,0.2,middle,728,0.620879120879,0.553719055423,0.641579466483,0.613093220977,0.718553718928
MulT,42,text_r0.2_late,text,0.2,late,728,0.607142857143,0.517410751055,0.629874898397,0.613737823527,0.706610842557
MulT,42,text_r0.3_early,text,0.3,early,728,0.589285714286,0.540297610302,0.637531121794,0.601125412119,0.70597271092
MulT,42,text_r0.3_middle,text,0.3,middle,728,0.608516483516,0.537437374855,0.639949344559,0.601940061845,0.7100664163
