model,seed,scenario_id,modality,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,vision_all_zero_count,vision_all_zero_accuracy,vision_all_zero_macro_f1
B5-P2,43,vision_r0.5_late,vision,0.5,late,728,0.642857142857,0.629086315121,0.596985164441,0.649929572646,0.749352679223,15,0.466666666667,0.49728049728
B5-P2,44,text_r0.1_early,text,0.1,early,728,0.630494505495,0.612705566377,0.616233118293,0.640098570474,0.740135959348,15,0.466666666667,0.453846153846
B5-P2,44,text_r0.1_middle,text,0.1,middle,728,0.631868131868,0.6205504604,0.611661411259,0.639854088202,0.742600516956,15,0.466666666667,0.444444444444
B5-P2,44,text_r0.1_late,text,0.1,late,728,0.637362637363,0.620377518185,0.617160747585,0.64202497185,0.743973129219,15,0.466666666667,0.453846153846
B5-P2,44,text_r0.2_early,text,0.2,early,728,0.631868131868,0.615231128562,0.622250237241,0.633506026943,0.740035975257,15,0.466666666667,0.453846153846
B5-P2,44,text_r0.2_middle,text,0.2,middle,728,0.619505494505,0.608875197268,0.613188684028,0.636828223959,0.736149172437,15,0.4,0.374074074074
B5-P2,44,text_r0.2_late,text,0.2,late,728,0.626373626374,0.605734297316,0.61774578644,0.640853428559,0.737394251724,15,0.466666666667,0.453846153846
B5-P2,44,text_r0.3_early,text,0.3,early,728,0.630494505495,0.614676324668,0.631123158584,0.622824798364,0.737849009062,15,0.466666666667,0.47619047619
B5-P2,44,text_r0.3_middle,text,0.3,middle,728,0.626373626374,0.617949030895,0.610714986025,0.636914595522,0.740248531006,15,0.4,0.342105263158
B5-P2,44,text_r0.3_late,text,0.3,late,728,0.625,0.606268158262,0.619728922179,0.636098636774,0.736507330738,15,0.466666666667,0.453846153846
B5-P2,44,text_r0.4_early,text,0.4,early,728,0.620879120879,0.607467816269,0.632693746649,0.618354674845,0.733018829199,15,0.466666666667,0.466666666667
B5-P2,44,text_r0.4_middle,text,0.4,middle,728,0.60989010989,0.602035781351,0.606699206738,0.637651132685,0.732408730782,15,0.4,0.342105263158
B5-P2,44,text_r0.4_late,text,0.4,late,728,0.620879120879,0.605208703154,0.618553301488,0.634019694674,0.735001363614,15,0.466666666667,0.453846153846
B5-P2,44,text_r0.5_early,text,0.5,early,728,0.60989010989,0.598645916507,0.646182198303,0.598930737181,0.725076090484,15,0.4,0.397603485839
B5-P2,44,text_r0.5_middle,text,0.5,middle,728,0.598901098901,0.596034495083,0.615906082529,0.627169271637,0.726467304012,15,0.4,0.342105263158
B5-P2,44,text_r0.5_late,text,0.5,late,728,0.612637362637,0.598559681372,0.625403192539,0.620146353458,0.729259088829,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.1_early,audio,0.1,early,728,0.635989010989,0.620744699535,0.610968728135,0.645378248457,0.744398678349,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.1_middle,audio,0.1,middle,728,0.635989010989,0.620744699535,0.611474176173,0.645232783433,0.744359434886,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.1_late,audio,0.1,late,728,0.637362637363,0.621842307093,0.611150897395,0.645334762316,0.745003460679,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.2_early,audio,0.2,early,728,0.635989010989,0.620744699535,0.611020765922,0.645391439854,0.744398159033,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.2_middle,audio,0.2,middle,728,0.635989010989,0.620744699535,0.611466702729,0.645223139563,0.744358540796,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.2_late,audio,0.2,late,728,0.637362637363,0.621842307093,0.611098189419,0.645325797408,0.745004536231,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.3_early,audio,0.3,early,728,0.635989010989,0.620643037986,0.611045420328,0.645386755128,0.744371130788,15,0.466666666667,0.444444444444
B5-P2,44,audio_r0.3_middle,audio,0.3,middle,728,0.635989010989,0.620851058127,0.611486827781,0.645224057034,0.744384406584,15,0.466666666667,0.444444444444
