model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B3.1-alpha0.25,vision_r0.1_late,vision,0.1,late,728,0.6304945054945055,0.6096150086838712,0.597984654076684,0.6397644647520214,0.7400819093854016,0.0,-0.0002889846935643092,0.00017438898538502112,-0.0001430773882820091,-9.739705465072745e-05
B3.1-alpha0.25,vision_r0.2_early,vision,0.2,early,728,0.6304945054945055,0.6101077809884342,0.5991488358333379,0.6395132290017685,0.7401251904195669,0.0,0.0002037876109987069,0.0013385707420389137,-0.00039431313853488525,-5.411602048543962e-05
B3.1-alpha0.25,vision_r0.2_middle,vision,0.2,middle,728,0.6304945054945055,0.609528955777863,0.5981165165194198,0.640274816702349,0.7401186958842433,0.0,-0.00037503759957246974,0.0003062514281207962,0.00036727456204554976,-6.061055580908192e-05
B3.1-alpha0.25,vision_r0.2_late,vision,0.2,late,728,0.6304945054945055,0.6094156616412466,0.5980151902761434,0.6398131984890317,0.7400368920002276,0.0,-0.0004883317361888961,0.0002049251848443845,-9.434365127169997e-05,-0.00014241443982476731
B3.1-alpha0.25,vision_r0.3_early,vision,0.3,early,728,0.6304945054945055,0.6111450311316453,0.6009480130838251,0.6379521116294445,0.7401143975650589,0.0,0.0012410377542098061,0.0031377479925260854,-0.001955430510858891,-6.490887499344122e-05
B3.1-alpha0.25,vision_r0.3_middle,vision,0.3,middle,728,0.6291208791208791,0.6080938454883877,0.5985650269232772,0.6400581839087868,0.7393707446857785,-0.0013736263736263687,-0.001810147889047764,0.0007547618319782012,0.00015064176848333943,-0.0008085617542739065
B3.1-alpha0.25,vision_r0.3_late,vision,0.3,late,728,0.6277472527472527,0.6079813693786416,0.5977724385857173,0.6396097793435004,0.7389761930083396,-0.0027472527472527375,-0.0019226239987939486,-3.7826505581706193e-05,-0.0002977627968030472,-0.0012031134317127545
B3.1-alpha0.25,vision_r0.4_early,vision,0.4,early,728,0.6277472527472527,0.6075776819803506,0.6026151434692381,0.6367966145657153,0.738321846191397,-0.0027472527472527375,-0.002326311397084946,0.004804878377939081,-0.003110927574588085,-0.001857460248655407
B3.1-alpha0.25,vision_r0.4_middle,vision,0.4,middle,728,0.6318681318681318,0.6104423224542973,0.5993947258505684,0.6397326155047391,0.7405694102749261,0.0013736263736263687,0.0005383290768617988,0.0015844607592694349,-0.00017492663556428756,0.0003901038348737007
B3.1-alpha0.25,vision_r0.4_late,vision,0.4,late,728,0.6291208791208791,0.6090101759630037,0.5977379303517659,0.6393934860050099,0.7395512024236067,-0.0013736263736263687,-0.0008938174144318412,-7.233473953305314e-05,-0.0005140561352935391,-0.0006281040164456408
B3.1-alpha0.25,vision_r0.5_early,vision,0.5,early,728,0.6263736263736264,0.6049415235080504,0.6047099372832575,0.635577300123058,0.737079702598999,-0.004120879120879106,-0.004962469869385089,0.006899672191958528,-0.0043302420172454115,-0.0030996038410533444
B3.1-alpha0.25,vision_r0.5_middle,vision,0.5,middle,728,0.6263736263736264,0.6060733897856556,0.6014425930679663,0.6378374804387354,0.7377813310501637,-0.004120879120879106,-0.003830603591779891,0.003632327976667349,-0.0020700617015679823,-0.002397975389888618
B3.1-alpha0.25,vision_r0.5_late,vision,0.5,late,728,0.6318681318681318,0.6114254045190975,0.5979095877885081,0.6389302234736768,0.7407767625398292,0.0013736263736263687,0.0015214111416620435,9.932269720913656e-05,-0.0009773186666266476,0.0005974560997767941
B3.1-alpha0.25,text+audio_r0.3_early,text+audio,0.3,early,728,0.6167582417582418,0.598571576238308,0.6067730655617357,0.6255652215400455,0.7317458961265708,-0.013736263736263687,-0.01133241713912747,0.008962800470436738,-0.014342320600257974,-0.008433410313481549
B3.1-alpha0.25,text+audio_r0.3_middle,text+audio,0.3,middle,728,0.6277472527472527,0.6161266637296915,0.597529681773017,0.6319034186258238,0.7400593363735883,-0.0027472527472527375,0.006222670352255988,-0.00028058331828195726,-0.008004123514479655,-0.00011997006646402575
B3.1-alpha0.25,text+audio_r0.3_late,text+audio,0.3,late,728,0.6167582417582418,0.5900453756544315,0.6102173908634091,0.6305412305886817,0.7300928335574448,-0.013736263736263687,-0.019858617723004013,0.012407125772110117,-0.009366311551621709,-0.010086472882607556
B3.1-alpha0.25,text+vision_r0.3_early,text+vision,0.3,early,728,0.6195054945054945,0.59728227712416,0.6092568861863034,0.6238585794709227,0.731793561750183,-0.01098901098901095,-0.012621716253275461,0.011446621095004383,-0.016048962669380717,-0.008385744689869412
B3.1-alpha0.25,text+vision_r0.3_middle,text+vision,0.3,middle,728,0.6373626373626373,0.6244475315100094,0.5957621617887455,0.6331125150453014,0.7447681831909599,0.006868131868131844,0.014543538132573919,-0.00204810330255345,-0.006795027095002015,0.004588876750907578
B3.1-alpha0.25,text+vision_r0.3_late,text+vision,0.3,late,728,0.6277472527472527,0.5989970440462037,0.6099689591645294,0.62965611580311,0.7349777153752308,-0.0027472527472527375,-0.010906949331231819,0.012158694073230447,-0.010251426337193448,-0.005201591064821542
B3.1-alpha0.25,audio+vision_r0.3_early,audio+vision,0.3,early,728,0.6277472527472527,0.610291850270502,0.5996283339029485,0.6389291496734786,0.7393914055510007,-0.0027472527472527375,0.0003878568930665294,0.0018180688116494759,-0.0009783924668248511,-0.0007879008890516737
