model,scenario_id,modalities,rho,location,sample_count,accuracy,macro_f1,mae,pearson,selection_score,delta_accuracy,delta_macro_f1,delta_mae,delta_pearson,delta_selection_score
B2-B1-BlockMask,text_r0.1_early,text,0.1,early,728,0.614010989010989,0.6007407809134993,0.6001816739604532,0.6540981407743591,0.7354426403295646,-0.005494505494505475,-0.004751463467633998,-0.0009486285130401173,0.000460183299869521,-0.0024644431400079325
B2-B1-BlockMask,text_r0.1_middle,text,0.1,middle,728,0.6126373626373627,0.5983766608945799,0.6110898865345906,0.6453406766180071,0.7329590118546285,-0.006868131868131844,-0.00711558348655339,0.009959584061097315,-0.008297280856482514,-0.0049480716149440385
B2-B1-BlockMask,text_r0.1_late,text,0.1,late,728,0.6263736263736264,0.6115040220504849,0.6045142693015245,0.6531649162998234,0.7409269320892755,0.006868131868131844,0.006011777669351681,0.003383966828031215,-0.0004730411746661778,0.0030198486197029473
B2-B1-BlockMask,text_r0.2_early,text,0.2,early,728,0.6153846153846154,0.5998122344582136,0.6061359287475,0.6479954204514117,0.7345429763193212,-0.004120879120879106,-0.0056800099229196155,0.0050056262740066915,-0.0056425370230779315,-0.003364107150251372
B2-B1-BlockMask,text_r0.2_middle,text,0.2,middle,728,0.6057692307692307,0.5880888478627152,0.615781043840388,0.6352222325320284,0.7272097552311405,-0.013736263736263798,-0.017403396518418046,0.014650741366894704,-0.018415724942461242,-0.010697328238432058
B2-B1-BlockMask,text_r0.2_late,text,0.2,late,728,0.6181318681318682,0.6033514835870539,0.6119623967845526,0.6486938409038511,0.7359591348433556,-0.0013736263736263687,-0.0021407607940793216,0.010832094311059248,-0.004944116570638535,-0.0019479486262169443
B2-B1-BlockMask,text_r0.3_early,text,0.3,early,728,0.6112637362637363,0.5939212742598191,0.6192434340674471,0.6286001676793647,0.7290694638379991,-0.008241758241758212,-0.01157097012131414,0.01811313159395378,-0.025037789795124943,-0.008837619631573479
B2-B1-BlockMask,text_r0.3_middle,text,0.3,middle,728,0.5989010989010989,0.5810985110881391,0.617794357987305,0.6336028681695258,0.7234588294356958,-0.020604395604395642,-0.024393733292994102,0.01666405551381167,-0.020035089304963782,-0.014448254033876728
B2-B1-BlockMask,text_r0.3_late,text,0.3,late,728,0.6208791208791209,0.6040583975874746,0.6151369213239177,0.6471228577336517,0.7364940317781922,0.0013736263736263687,-0.0014338467936586552,0.014006618850424424,-0.00651509974083786,-0.0014130516913803959
B2-B1-BlockMask,text_r0.4_early,text,0.4,early,728,0.6071428571428571,0.5884949587405052,0.6225631206429431,0.6215408063603248,0.7256619247390919,-0.01236263736263743,-0.01699728564062808,0.021432818169449752,-0.03209715111416478,-0.01224515873048071
B2-B1-BlockMask,text_r0.4_middle,text,0.4,middle,728,0.5947802197802198,0.5749376299376299,0.6246059854709349,0.6220342831425423,0.719158498427658,-0.02472527472527475,-0.03055461444350338,0.023475682997441627,-0.03160367433194733,-0.018748585041914567
B2-B1-BlockMask,text_r0.4_late,text,0.4,late,728,0.603021978021978,0.5843766178828319,0.6229935127443501,0.6324246055716367,0.7249446616416425,-0.016483516483516536,-0.021115626498301343,0.021863210270856803,-0.021213351902852895,-0.01296242182793006
B2-B1-BlockMask,text_r0.5_early,text,0.5,early,728,0.5947802197802198,0.5758004350086589,0.643361082894134,0.5913147965838363,0.7147528014829436,-0.02472527472527475,-0.029691809372474398,0.04223078042064066,-0.06232316089065326,-0.023154281986628944
B2-B1-BlockMask,text_r0.5_middle,text,0.5,middle,728,0.5961538461538461,0.5736838748391416,0.636777782075844,0.6075529676710734,0.7168711436206375,-0.02335164835164838,-0.03180836954199162,0.03564747960235071,-0.04608498980341624,-0.021035939848935037
B2-B1-BlockMask,text_r0.5_late,text,0.5,late,728,0.5851648351648352,0.5621771311346216,0.6404860959603236,0.5992920754788469,0.7100600803447066,-0.03434065934065933,-0.043315113246511605,0.03935579348683027,-0.05434588199564272,-0.027847003124865988
B2-B1-BlockMask,audio_r0.1_early,audio,0.1,early,728,0.6195054945054945,0.6054922443811332,0.6012184751005127,0.6536218855147556,0.7379014006151468,0.0,0.0,8.817262701943385e-05,-1.6071959733965357e-05,-5.682854425814732e-06
B2-B1-BlockMask,audio_r0.1_middle,audio,0.1,middle,728,0.6195054945054945,0.6054922443811332,0.6019863241382843,0.6533143213514605,0.7378309613848277,0.0,0.0,0.0008560216647910401,-0.00032363612302910294,-7.612208474483406e-05
B2-B1-BlockMask,audio_r0.1_late,audio,0.1,late,728,0.6195054945054945,0.6054922443811332,0.6013132018743308,0.653596372416558,0.737894264528963,0.0,0.0,0.00018289940083748846,-4.15850579316146e-05,-1.2818940609560237e-05
B2-B1-BlockMask,audio_r0.2_early,audio,0.2,early,728,0.6195054945054945,0.6054922443811332,0.6013699827388257,0.6535100047542751,0.7378811027018236,0.0,0.0,0.00023968026533238707,-0.0001279527202144859,-2.5980767748956524e-05
B2-B1-BlockMask,audio_r0.2_middle,audio,0.2,middle,728,0.6195054945054945,0.6054922443811332,0.6021422318356869,0.6531700625593763,0.7378064328817586,0.0,0.0,0.001011929362193631,-0.0004678949151133427,-0.00010065058781394409
