model,category,group,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,pearson_mean,pearson_sd,selection_score_mean,selection_score_sd
MISA,by_location,early,0.6070156695156694,0.007767530726490676,0.5943775865030457,0.007849485169440697,0.9282111017992262,0.10327135412275225,0.6170976948663357,0.00807004754164683,0.713810063288003,0.003419183389626678
MISA,by_location,late,0.609457671957672,0.01097425084453197,0.5962130729979763,0.008447149879407274,0.9344015773194343,0.10633748014987164,0.6226958400580056,0.007222777574106359,0.7153212671911864,0.0013194670042214712
MISA,by_location,middle,0.6071428571428572,0.011021026233628347,0.5966677010475853,0.009552830731036672,0.9115746412631867,0.0981304968655642,0.6194723004223963,0.007853580673733533,0.7154044003811107,0.003499903952523993
MISA,by_modality,audio,0.6128510378510378,0.008299721558661634,0.6007346791614602,0.006047166514449275,0.9179525815120753,0.10035011755604668,0.6268154427164112,0.008782324062099594,0.7185003353630062,0.001237075997755354
MISA,by_modality,text,0.5987789987789987,0.011225452873696569,0.5866228665057331,0.010167165946247057,0.9332255908254798,0.10528375665390517,0.6083742826987931,0.006987658979181095,0.7085128520408037,0.004086879296127504
MISA,by_modality,vision,0.6132173382173381,0.009748482847864944,0.6012288359585396,0.008296077222050927,0.920038357246309,0.10042771136511866,0.626608756704021,0.008369861166866645,0.7186027065800425,0.00175698602782862
MISA,by_ratio,0.1,0.6116707366707367,0.009330545358153867,0.5992635792376058,0.007216148763548295,0.9222501916157484,0.10161789306625228,0.6254573470635678,0.008366402928379438,0.7174886560427087,0.0013515870311779537
MISA,by_ratio,0.2,0.60999185999186,0.008905168672650473,0.597711525766781,0.007047146165269001,0.9229645493973747,0.10239302990249796,0.6239721453285727,0.008108748709926292,0.7164655083808412,0.0019483449536994598
MISA,by_ratio,0.3,0.6090761090761091,0.00903243510551345,0.5969828442792389,0.007519717883525249,0.9237127188919321,0.10313465302244688,0.6212151071854289,0.007685326175696686,0.715678596783185,0.002319675060149179
MISA,by_ratio,0.4,0.6078551078551079,0.009978386115219527,0.595988532311309,0.0085926364890152,0.9234081270330685,0.10154725474527769,0.6192900190537809,0.007728842435189042,0.714896823796949,0.002765895604862885
MISA,by_ratio,0.5,0.6028184778184779,0.011058040773478401,0.5910308211146204,0.009930413377614914,0.9263586290349834,0.1007434950375005,0.6130628515673586,0.007696638436857276,0.7114969049694034,0.003200302744499514
MISA,double_stress,audio+vision,0.6127899877899878,0.008799472103418512,0.6009139059342682,0.0074769412376601155,0.9195144224641287,0.10024879494256714,0.6267957934345558,0.008395707609409362,0.718462346674378,0.0012445236502255932
MISA,double_stress,text+audio,0.6019536019536019,0.010584089406340534,0.5895912406976046,0.009948025954635054,0.9343985875921212,0.10904635628857973,0.6099019488422703,0.006433639111343819,0.7101906797850803,0.004729995051378435
MISA,double_stress,text+vision,0.6027167277167277,0.009263730711534501,0.5901131085311061,0.00927666566584024,0.9351282643155117,0.10951465073565507,0.6099048592074728,0.006457564826971401,0.7104818887830796,0.0047867502500527435
MISA,modality_location,audio/early,0.612912087912088,0.008255483077646578,0.6008091545986843,0.005988623456504204,0.917876675970692,0.10041641859920211,0.6268299862587569,0.008772854428882036,0.7185391974112588,0.0012328709045692518
