model,seed,category,group,accuracy,macro_f1,mae,pearson,selection_score
MulT,42,by_ratio,0.5,0.6016483516483516,0.5408301431858076,0.663068302692129,0.6133734613227095,0.7096634604283731
MulT,42,by_location,early,0.6147741147741148,0.561219455051559,0.6467646877341067,0.6256905212503246,0.7202611789571213
MulT,42,by_location,middle,0.6169871794871795,0.5567532549805605,0.6546094815766437,0.6256785867187574,0.7193695368910862
MulT,42,by_location,late,0.6128663003663004,0.5413510936011957,0.6540973612348411,0.627064275246838,0.7146833261796105
MulT,42,by_modality,text,0.5967948717948718,0.5265474209277686,0.6440061568630511,0.5988915820235605,0.7038634310643113
MulT,42,by_modality,audio,0.6227106227106228,0.5750795526056067,0.6528028550080192,0.643094544557392,0.7276342429400636
MulT,42,by_modality,vision,0.629029304029304,0.5600001546973972,0.66263819554268,0.6425395645778089,0.7249648854396231
MulT,42,double_stress,text+audio,0.6025641025641025,0.5544968629857276,0.6376502759662549,0.6012239083718284,0.712849468435342
MulT,42,double_stress,text+vision,0.6016483516483516,0.5259332421700191,0.6356771022197364,0.606167102810894,0.7061797403801321
MulT,42,double_stress,audio+vision,0.6208791208791209,0.5673770754902822,0.662265768018807,0.6405808323189913,0.724542246131441
MulT,42,modality_rho,text/0.1,0.6222527472527473,0.5582428416999319,0.6377467855490444,0.6299870346635954,0.7222994938399091
MulT,42,modality_rho,text/0.2,0.6121794871794871,0.5427651757435905,0.6339440370582372,0.6167449644442459,0.7144149514088736
MulT,42,modality_rho,text/0.3,0.6007326007326007,0.5302223862050599,0.6378652083400923,0.6028429249904144,0.7065163953440464
MulT,42,modality_rho,text/0.4,0.5856227106227107,0.5123258647313841,0.6451339605264366,0.5873099892236853,0.6960203108028827
MulT,42,modality_rho,text/0.5,0.5631868131868132,0.4891808362588768,0.6653407928414452,0.5575729967958617,0.680066003925845
MulT,42,modality_location,text/early,0.5925824175824176,0.540585124782884,0.6416724239916101,0.598490162988756,0.7063668049652695
MulT,42,modality_location,text/middle,0.6093406593406593,0.5411010535222034,0.6444338205782185,0.5997586935868067,0.7107288557233074
MulT,42,modality_location,text/late,0.5884615384615385,0.4979560844782186,0.6459122260193249,0.5984258894951189,0.6944946325043573
MulT,42,modality_rho,audio/0.1,0.63003663003663,0.5703592799241906,0.6525379041578252,0.6442840008261633,0.7284453982535661
MulT,42,modality_rho,audio/0.2,0.6295787545787546,0.5770613271274908,0.652208811108828,0.6441056075502031,0.7299978542408022
MulT,42,modality_rho,audio/0.3,0.6222527472527473,0.5748625194009773,0.652644433251722,0.6433529795726344,0.7275044210578553
MulT,42,modality_rho,audio/0.4,0.6172161172161172,0.5757474738111651,0.6532388787013871,0.6422189296146641,0.7262999773460957
MulT,42,modality_rho,audio/0.5,0.6144688644688645,0.5773671627642097,0.6533842478203331,0.6415112052232952,0.7259235638019998
MulT,42,modality_location,audio/early,0.6271978021978022,0.5770470037699705,0.6475518818218057,0.6446188896509345,0.729657234289068
MulT,42,modality_location,audio/middle,0.618956043956044,0.5754958985594271,0.6530590176531165,0.6420656472664447,0.7266603991349602
MulT,42,modality_location,audio/late,0.621978021978022,0.5726957554874225,0.6577976655491351,0.6425990967547969,0.7265850953961634
MulT,42,modality_rho,vision/0.1,0.6323260073260073,0.5660036457618959,0.6549744591860599,0.6438559070144976,0.7277737991827021
MulT,42,modality_rho,vision/0.2,0.63003663003663,0.5605127926202372,0.6585221068793737,0.6432266435657699,0.7256022649899642
MulT,42,modality_rho,vision/0.3,0.6272893772893773,0.5583269448548844,0.6626647913388416,0.6423831266994431,0.7240909384010441
MulT,42,modality_rho,vision/0.4,0.6282051282051282,0.5592149597156324,0.6665497528945161,0.6421959636603616,0.7243566110671306
MulT,42,modality_rho,vision/0.5,0.6272893772893773,0.5559424305343361,0.6704798674146089,0.6410361819489718,0.7230008135572744
MulT,42,modality_location,vision/early,0.6291208791208791,0.5642756138310095,0.6553212709039204,0.6414440436872539,0.7262245757445489
MulT,42,modality_location,vision/middle,0.6274725274725275,0.5557538179953901,0.6671852908342831,0.6432961773080825,0.7234192214123946
MulT,42,modality_location,vision/late,0.6304945054945055,0.5599710322657919,0.6654080248898366,0.6428784727380898,0.7252508591619258
MulT,43,by_ratio,0.1,0.6188949938949939,0.6077140791950846,0.6084594374951271,0.6228147415932974,0.7341516344093848
MulT,43,by_ratio,0.2,0.6163003663003662,0.6055982007984967,0.6101668527337321,0.6209884482159309,0.7326745789378015
MulT,43,by_ratio,0.3,0.6114163614163615,0.6007678139711264,0.612861863686561,0.6184969882210737,0.7298222563875661
MulT,43,by_ratio,0.4,0.6066849816849818,0.5961046696115502,0.6165893815863782,0.6157149659528796,0.7269705593354772
MulT,43,by_ratio,0.5,0.6011904761904762,0.5910471043620295,0.6228943759756292,0.6089837977113247,0.7232284375197241
MulT,43,by_location,early,0.6102716727716728,0.601928097452235,0.6140767782011156,0.6142187139513609,0.7292407493748505
MulT,43,by_location,middle,0.6092032967032969,0.5976562712734653,0.6143764608402615,0.618040490636743,0.7283709341221059
MulT,43,by_location,late,0.6076770451770452,0.5971370803685255,0.6163417039646896,0.6176401823584736,0.7277276498493399
MulT,43,by_modality,text,0.5926739926739926,0.584023184405459,0.6257954307285994,0.6049144908065123,0.7187137960069854
MulT,43,by_modality,audio,0.621886446886447,0.6116129087711092,0.6083988231429386,0.6242880633976461,0.7360608958748055
MulT,43,by_modality,vision,0.6181318681318683,0.6051030275864043,0.6083888930149186,0.6229968108125458,0.7333337880721814
MulT,43,double_stress,text+audio,0.5911172161172161,0.5847663356497735,0.6233041493952165,0.6078437234955844,0.7189803471538948
MulT,43,double_stress,text+vision,0.5956959706959707,0.5896772008714138,0.6237711930074371,0.6065161662088951,0.7211673472926482
MulT,43,double_stress,audio+vision,0.6126373626373627,0.6021895542293046,0.6087785812014639,0.6240396068914674,0.7313459058613726
MulT,43,modality_rho,text/0.1,0.6071428571428571,0.5984848268610129,0.6101930680200321,0.6202197188706743,0.7285096746923004
MulT,43,modality_rho,text/0.2,0.6039377289377289,0.5949288880467065,0.6154182610125878,0.6142823564922509,0.7258595212654491
MulT,43,modality_rho,text/0.3,0.5952380952380952,0.5864838952542698,0.6226754390324156,0.6076037220005418,0.7204361529134751
MulT,43,modality_rho,text/0.4,0.5851648351648352,0.5763531521819899,0.6322708576167132,0.6004407988676663,0.7140899776278015
MulT,43,modality_rho,text/0.5,0.5718864468864469,0.5638651596833161,0.6484195279612482,0.5820258578014272,0.7046736535359005
MulT,43,modality_location,text/early,0.5956043956043956,0.5894353047455871,0.626503987671746,0.5995461267556093,0.7200988581122908
MulT,43,modality_location,text/middle,0.5942307692307692,0.5821258673328334,0.623337542223693,0.6085126072480469,0.7191808374542527
MulT,43,modality_location,text/late,0.5881868131868132,0.5805083811379564,0.6275447622903592,0.6066847384158802,0.7168616924544124
MulT,43,modality_rho,audio/0.1,0.6236263736263736,0.6118998777539567,0.6072042258268721,0.6245733201734082,0.7366530517906389
MulT,43,modality_rho,audio/0.2,0.6231684981684982,0.6122509958178922,0.6073879305385872,0.6247063370023727,0.7366353351827863
MulT,43,modality_rho,audio/0.3,0.6213369963369964,0.6107902019157847,0.6080249824131337,0.6245285478879566,0.7357634937819759
MulT,43,modality_rho,audio/0.4,0.6213369963369964,0.6120089172101628,0.6089780284160059,0.6241478276196283,0.7359808723219097
MulT,43,modality_rho,audio/0.5,0.61996336996337,0.6111145511577496,0.6103989485200945,0.6234842843048641,0.7352717262967173
MulT,43,modality_location,audio/early,0.6222527472527473,0.6131154237372732,0.6079921042208898,0.6231429042190542,0.7364019014323498
MulT,43,modality_location,audio/middle,0.6208791208791209,0.6106841615121371,0.6092447348491667,0.6241281280036749,0.7355216393128919
MulT,43,modality_location,audio/late,0.6225274725274725,0.6110391410639173,0.6079596303587596,0.6255931579702089,0.7362591468791753
MulT,43,modality_rho,vision/0.1,0.6259157509157509,0.6127575329702841,0.6079810186384771,0.6236511857358096,0.7372921767452151
MulT,43,modality_rho,vision/0.2,0.6217948717948718,0.6096147185308914,0.6076943666500214,0.6239766511531691,0.7355288803651694
MulT,43,modality_rho,vision/0.3,0.6176739926739927,0.6050293447433249,0.6078851696141337,0.6233586947747226,0.7332671224672475
MulT,43,modality_rho,vision/0.4,0.6135531135531136,0.5999519394424984,0.6085192587264155,0.6225562713713442,0.7308408280567203
MulT,43,modality_rho,vision/0.5,0.6117216117216118,0.5981616022450227,0.609864651445545,0.6214412510276828,0.7297399327265546
MulT,43,modality_location,vision/early,0.6184065934065934,0.606215751804382,0.6057583636113002,0.6236417755117868,0.7338708764245797
MulT,43,modality_location,vision/middle,0.6195054945054945,0.6057174890478678,0.6082964368891176,0.6228589986890667,0.7338174358540941
MulT,43,modality_location,vision/late,0.6164835164835165,0.6033758419069631,0.6111118785443378,0.6224896582367836,0.7323130519378704
MulT,44,by_ratio,0.1,0.5944749694749695,0.5893573909783014,0.6125015698734929,0.6387252915491674,0.7252778528122348
MulT,44,by_ratio,0.2,0.5886752136752137,0.5840100455447076,0.6169849103450279,0.6349532297017157,0.7218327639199853
MulT,44,by_ratio,0.3,0.5836385836385837,0.5796989671774566,0.6224882312762063,0.630170253544331,0.7186686597605428
MulT,44,by_ratio,0.4,0.5750915750915752,0.5714374645498069,0.6288289827020596,0.6243871026450963,0.7134794401283967
MulT,44,by_ratio,0.5,0.5607448107448108,0.5571125414471891,0.6374611744864119,0.6134862738309447,0.704589240006601
MulT,44,by_location,early,0.5822649572649572,0.5791048344093487,0.6206458375804291,0.6301402722240738,0.7182497387140677
MulT,44,by_location,middle,0.580891330891331,0.576499023165703,0.6230832719349534,0.6298812299270216,0.7171209392578465
MulT,44,by_location,late,0.5653998778998779,0.5626134641012155,0.6341017572608947,0.620313908414528,0.7081216674995521
MulT,44,by_modality,text,0.5454212454212454,0.5465991896121,0.6485654925003019,0.6039193584644288,0.6964714663788774
